Episode #0 Reward: -310.7136823418582, Entropy mean: 1.4949854576587678, Entropy std: 0.04561897001803734
Episode #1 Reward: -305.212273049974, Entropy mean: 1.5273646998405457, Entropy std: 0.05790294454735996
Episode #2 Reward: -410.3690749017181, Entropy mean: 1.4687216174602509, Entropy std: 0.1147022540795273
Episode #3 Reward: -247.88314003477046, Entropy mean: 1.5868318992853165, Entropy std: 0.028262499569933663
Episode #4 Reward: -201.80664750599675, Entropy mean: 1.5759050595760344, Entropy std: 0.014543060441139335
Episode #5 Reward: -221.2434877501777, Entropy mean: 1.5848156893253327, Entropy std: 0.0242578734100862
Episode #6 Reward: -186.16148994274312, Entropy mean: 1.5905809462070466, Entropy std: 0.012740079301496458
Episode #7 Reward: -441.7257462258451, Entropy mean: 1.526402815580368, Entropy std: 0.05017983282123064
Episode #8 Reward: -311.1544443495512, Entropy mean: 1.4016604429483415, Entropy std: 0.2402216319879456
Episode #9 Reward: -407.0534014915035, Entropy mean: 1.2807180047035218, Entropy std: 0.14067713930520787
Episode #10 Reward: -227.60440974236707, Entropy mean: 1.5708106392621994, Entropy std: 0.032641332304886174
Episode #11 Reward: -219.37927898032282, Entropy mean: 1.516191652417183, Entropy std: 0.059146333151617506
Episode #12 Reward: -379.91416801598297, Entropy mean: 1.4221535015106201, Entropy std: 0.1187487538088183
Episode #13 Reward: -181.51670045850534, Entropy mean: 1.4858133125305175, Entropy std: 0.11045941871564842
Episode #14 Reward: -245.3543629645642, Entropy mean: 1.5152937769889832, Entropy std: 0.07570461811319963
Episode #15 Reward: -364.6626363000238, Entropy mean: 1.4364564222097398, Entropy std: 0.17196625808487867
Episode #16 Reward: -366.84684141337294, Entropy mean: 1.5564642298221587, Entropy std: 0.04034364841575694
Episode #17 Reward: -304.34439506300924, Entropy mean: 1.5791359949111938, Entropy std: 0.0188170514521033
Episode #18 Reward: -189.97067149296387, Entropy mean: 1.580577445626259, Entropy std: 0.030153505197593116
Episode #19 Reward: -707.0847951413773, Entropy mean: 1.1032876938953995, Entropy std: 0.45155770007262336
Episode #20 Reward: -194.24571253280703, Entropy mean: 1.5715708339214325, Entropy std: 0.03021392328267678
Episode #21 Reward: -262.36320721746796, Entropy mean: 1.4858707016706467, Entropy std: 0.09782349447508856
Episode #22 Reward: -249.31555425549374, Entropy mean: 1.5782982337474822, Entropy std: 0.024290457396858863
Episode #23 Reward: -379.7116043376496, Entropy mean: 1.5031057494878768, Entropy std: 0.07068517202039565
Episode #24 Reward: -217.14725700242303, Entropy mean: 1.57107077896595, Entropy std: 0.03402604338240261
Episode #25 Reward: -351.06069965536517, Entropy mean: 1.507424139380455, Entropy std: 0.04810362957110838
Episode #26 Reward: -340.6365748700778, Entropy mean: 1.5208798706531526, Entropy std: 0.07687141752255133
Episode #27 Reward: -447.4265962607923, Entropy mean: 1.4508723044395446, Entropy std: 0.11658999975541984
Episode #28 Reward: -332.5416407116595, Entropy mean: 1.5215588009357452, Entropy std: 0.04816603614358292
Episode #29 Reward: -208.8514918854712, Entropy mean: 1.4660497587919235, Entropy std: 0.10230633736976802
Episode #30 Reward: -323.28971022654014, Entropy mean: 1.4951600021123885, Entropy std: 0.09151160912235892
Episode #31 Reward: -280.29625105910367, Entropy mean: 1.4724331879615784, Entropy std: 0.06843667910804252
Episode #32 Reward: -258.23376936033435, Entropy mean: 1.4747832161188126, Entropy std: 0.12772758043977142
Episode #33 Reward: -509.5519161076127, Entropy mean: 1.3578542739152908, Entropy std: 0.1600999581222655
Episode #34 Reward: -382.0475653936841, Entropy mean: 1.3713612136244775, Entropy std: 0.205082571356535
Episode #35 Reward: -437.62920035635193, Entropy mean: 1.363080357313156, Entropy std: 0.15208591778610958
Episode #36 Reward: -508.68760492940294, Entropy mean: 1.3201808008551597, Entropy std: 0.15452453941147465
Episode #37 Reward: -147.04373441652302, Entropy mean: 1.4985989373922348, Entropy std: 0.059681187885413094
Episode #38 Reward: -263.34815584501786, Entropy mean: 1.347220586836338, Entropy std: 0.18386739277271236
Episode #39 Reward: -300.2269675433606, Entropy mean: 1.5206551659107208, Entropy std: 0.09055757042127134
Episode #40 Reward: -566.1573803501449, Entropy mean: 1.4746286243200302, Entropy std: 0.12460811070492196
Episode #41 Reward: -253.78633764841572, Entropy mean: 1.4287692934274674, Entropy std: 0.054587641858051435
Episode #42 Reward: -236.13224358586746, Entropy mean: 1.3652018159627914, Entropy std: 0.04945333629424926
Episode #43 Reward: -198.68775600365993, Entropy mean: 1.4836100727319717, Entropy std: 0.042804618095531204
Episode #44 Reward: -224.6975175953941, Entropy mean: 1.3632336097955704, Entropy std: 0.07549845073213346
Episode #45 Reward: -296.1133099271053, Entropy mean: 1.2551291728019713, Entropy std: 0.1553794983773844
Episode #46 Reward: -211.98898544385054, Entropy mean: 1.372400516271591, Entropy std: 0.0644066126867419
Episode #47 Reward: -281.22901023915404, Entropy mean: 1.3701966017484666, Entropy std: 0.04379648676989951
Episode #48 Reward: -188.78612758242303, Entropy mean: 1.435585715174675, Entropy std: 0.09580800987820919
Episode #49 Reward: -237.76089767720495, Entropy mean: 1.321359602510929, Entropy std: 0.21610825256307314
Episode #50 Reward: -212.13376738804047, Entropy mean: 1.3915068089962006, Entropy std: 0.13281890802321722
Episode #51 Reward: -266.35078142213905, Entropy mean: 1.3409546446800231, Entropy std: 0.14806719763259205
Episode #52 Reward: -264.4024532270582, Entropy mean: 1.4741792339086532, Entropy std: 0.08540304519366397
Episode #53 Reward: -211.8069651116089, Entropy mean: 1.4472367975115776, Entropy std: 0.1420902847345143
Episode #54 Reward: -173.73906435528662, Entropy mean: 1.516248314976692, Entropy std: 0.05365031348115388
Episode #55 Reward: -196.10025174396284, Entropy mean: 1.3441338697075844, Entropy std: 0.2657051805061292
Episode #56 Reward: -167.0035103497909, Entropy mean: 1.4282898254692555, Entropy std: 0.19943396610442182
Episode #57 Reward: -216.81919729426497, Entropy mean: 1.467928984761238, Entropy std: 0.11218636155529879
Episode #58 Reward: -227.458513652616, Entropy mean: 1.288205173909664, Entropy std: 0.24282872945520387
