Episode #0 Reward: -2967.9141789042023, Entropy mean: 1.4663813126087188, Entropy std: 0.11283106216241665
Episode #1 Reward: -3074.963533266057, Entropy mean: 1.397365033507347, Entropy std: 0.14131102890515596
Episode #2 Reward: -3138.2898132873206, Entropy mean: 1.25951530367136, Entropy std: 0.3612415278497199
Episode #3 Reward: -3034.1472916513903, Entropy mean: 1.3478919305205346, Entropy std: 0.21943706369048774
Episode #4 Reward: -2622.3355146200015, Entropy mean: 1.2442665170133114, Entropy std: 0.4470869816203455
Episode #5 Reward: -2932.3540141995586, Entropy mean: 1.1924538467228412, Entropy std: 0.36943021265131987
Episode #6 Reward: -3290.039240185355, Entropy mean: 1.3786975031755864, Entropy std: 0.32452097716050415
Episode #7 Reward: -3640.02568340849, Entropy mean: 0.9467969437457098, Entropy std: 0.4629343612446774
Episode #8 Reward: -2511.3865218424635, Entropy mean: 1.075421380619769, Entropy std: 0.5909925747294139
Episode #9 Reward: -5292.471195392723, Entropy mean: 0.8167189905951753, Entropy std: 0.6132668762623629
Episode #10 Reward: -3999.9976501423766, Entropy mean: 1.012026240871328, Entropy std: 0.6202067692807961
Episode #11 Reward: -2851.1151800964485, Entropy mean: 1.0168798884844314, Entropy std: 0.5583578914686312
Episode #12 Reward: -4447.399863315882, Entropy mean: 0.8520960818678802, Entropy std: 0.5868116836482479
Episode #13 Reward: -3591.6660314918886, Entropy mean: 0.9039499861238649, Entropy std: 0.6759446454960453
Episode #14 Reward: -4216.361027521312, Entropy mean: 0.6456814058275698, Entropy std: 0.7011347745963601
Episode #15 Reward: -3732.023133689886, Entropy mean: 0.6957915984434268, Entropy std: 0.750567696641167
Episode #16 Reward: -4164.861977743151, Entropy mean: 0.6468334216872574, Entropy std: 0.714170390018328
Episode #17 Reward: -2767.628609479931, Entropy mean: 0.6479168236652204, Entropy std: 0.6896476914823195
Episode #18 Reward: -3047.7615615719, Entropy mean: 0.6743420809928136, Entropy std: 0.7157988589032499
Episode #19 Reward: -6363.109575791474, Entropy mean: 0.6067758017739747, Entropy std: 0.6752463530627882
Episode #20 Reward: -4452.794832495494, Entropy mean: 0.6172128183957796, Entropy std: 0.6513128536850168
Episode #21 Reward: -2951.348233708501, Entropy mean: 0.6289897499272286, Entropy std: 0.6954646758864282
Episode #22 Reward: -4645.724403441679, Entropy mean: 0.5017237215686593, Entropy std: 0.6095077061375188
