Episode #0 Reward: -1306.34792375651, Entropy mean: 1.5121806514263154, Entropy std: 0.11762152147670932
Episode #1 Reward: -1600.6610764702518, Entropy mean: 1.4690995518366496, Entropy std: 0.09915094037497814
Episode #2 Reward: -1948.6119151473333, Entropy mean: 1.0954592012862365, Entropy std: 0.37603287636414023
Episode #3 Reward: -2134.3939884090223, Entropy mean: 0.7859725621839364, Entropy std: 0.3000546739595247
Episode #4 Reward: -1595.3168275351027, Entropy mean: 0.784919744967483, Entropy std: 0.5285967537009331
Episode #5 Reward: -2425.8990877196125, Entropy mean: 0.7688052779529244, Entropy std: 0.4792949897151726
Episode #6 Reward: -1725.8365182223527, Entropy mean: 1.323671292066574, Entropy std: 0.27290867497261073
Episode #7 Reward: -1745.0379258055893, Entropy mean: 1.3167291376988093, Entropy std: 0.32262992994789563
Episode #8 Reward: -1151.5721195821027, Entropy mean: 1.4534363968173662, Entropy std: 0.13284953047049364
Episode #9 Reward: -1454.2665865600732, Entropy mean: 0.9988168333668466, Entropy std: 0.6157013633712648
Episode #10 Reward: -1460.0323811516976, Entropy mean: 1.182515685930848, Entropy std: 0.3868842062321891
Episode #11 Reward: -1775.1978119044163, Entropy mean: 1.181060526209573, Entropy std: 0.43777918253223486
Episode #12 Reward: -2561.550990368674, Entropy mean: 0.7571672170709818, Entropy std: 0.5554077288501421
Episode #13 Reward: -2825.502343397691, Entropy mean: 0.8527289986548324, Entropy std: 0.4563994296528257
Episode #14 Reward: -4995.51796975266, Entropy mean: 1.0188048249234756, Entropy std: 0.4475865564449254
Episode #15 Reward: -1952.111223749684, Entropy mean: 1.144406274110079, Entropy std: 0.38045440405912784
Episode #16 Reward: -2118.862529974176, Entropy mean: 1.299672943552335, Entropy std: 0.3172455409469508
Episode #17 Reward: -2164.1874827783827, Entropy mean: 1.3319238086991634, Entropy std: 0.44087427528046597
Episode #18 Reward: -3459.976616554911, Entropy mean: 1.0747016559670253, Entropy std: 0.44333158282984997
Episode #19 Reward: -3077.4370748706197, Entropy mean: 1.4214108246564865, Entropy std: 0.1736917536283984
Episode #20 Reward: -1804.3184212435647, Entropy mean: 1.4159180584549904, Entropy std: 0.17298886536666108
Episode #21 Reward: -2027.1192240833625, Entropy mean: 1.3977057529489199, Entropy std: 0.18917423157337737
Episode #22 Reward: -3160.0060361947826, Entropy mean: 1.3939814643065134, Entropy std: 0.16130941208235908
Episode #23 Reward: -3457.693844813831, Entropy mean: 1.3129437118768692, Entropy std: 0.2156726110967685
Episode #24 Reward: -3425.4114437376957, Entropy mean: 1.3863122596343358, Entropy std: 0.18096145230383215
Episode #25 Reward: -2781.129989757463, Entropy mean: 1.326469857096672, Entropy std: 0.19535805410390908
Episode #26 Reward: -1799.3139642840936, Entropy mean: 1.3510875180363655, Entropy std: 0.20977414372851624
Episode #27 Reward: -3169.9020941043163, Entropy mean: 1.2827103792627652, Entropy std: 0.38387050687146834
Episode #28 Reward: -1501.6898683309657, Entropy mean: 0.9496472571907604, Entropy std: 0.5646677320574013
Episode #29 Reward: -2013.5935231331316, Entropy mean: 1.3172626896202564, Entropy std: 0.26644630162388616
Episode #30 Reward: -4587.272969345355, Entropy mean: 1.1262835987781485, Entropy std: 0.34484007894305296
Episode #31 Reward: -3718.8162405423955, Entropy mean: 1.23122440615048, Entropy std: 0.29046696049209536
Episode #32 Reward: -3344.2532223254543, Entropy mean: 1.0103833914812033, Entropy std: 0.47330271821589887
Episode #33 Reward: -5358.973765325621, Entropy mean: 0.6852268415960248, Entropy std: 0.542391985991585
Episode #34 Reward: -3206.499608457576, Entropy mean: 0.9452612628329856, Entropy std: 0.48480430594465784
Episode #35 Reward: -4276.874528590792, Entropy mean: 0.6932029041132743, Entropy std: 0.5599893303828652
Episode #36 Reward: -4779.775541076539, Entropy mean: 0.7494683679862321, Entropy std: 0.5658227992855823
Episode #37 Reward: -2662.6100081174377, Entropy mean: 0.9429228638123618, Entropy std: 0.48414344513106533
Episode #38 Reward: -2576.5179180981063, Entropy mean: 0.963168848658867, Entropy std: 0.570445186568708
Episode #39 Reward: -1841.9762498173593, Entropy mean: 0.8446421478009143, Entropy std: 0.5896718759331183
Episode #40 Reward: -2492.596201198855, Entropy mean: 0.6996710628127764, Entropy std: 0.6261118419147473
Episode #41 Reward: -5140.978641016145, Entropy mean: 0.8353288607676327, Entropy std: 0.499766999533587
Episode #42 Reward: -2145.1433943998954, Entropy mean: 1.080336653823809, Entropy std: 0.3996663962053564
Episode #43 Reward: -5529.166082160433, Entropy mean: 1.0007929953602415, Entropy std: 0.46496097505829503
Episode #44 Reward: -3961.338805952103, Entropy mean: 1.0391290728685756, Entropy std: 0.4478540325830092
Episode #45 Reward: -3695.023267582222, Entropy mean: 0.9259841917200132, Entropy std: 0.5518464847563154
Episode #46 Reward: -2368.4316461191834, Entropy mean: 1.000766140325671, Entropy std: 0.5846365502087831
Episode #47 Reward: -1260.4953599454675, Entropy mean: 1.0002739037573338, Entropy std: 0.4113325847132849
Episode #48 Reward: -2794.5097153094234, Entropy mean: 0.722018688274249, Entropy std: 0.4394063017256586
Episode #49 Reward: -8276.739073425679, Entropy mean: 0.5257065336833381, Entropy std: 0.47791428749399456
Episode #50 Reward: -6744.464807218724, Entropy mean: 0.6259359559261702, Entropy std: 0.4583210566041311
Episode #51 Reward: -6446.5951506080755, Entropy mean: 0.4606512016093863, Entropy std: 0.4538636319107005
Episode #52 Reward: -3686.283339381274, Entropy mean: 0.8953099921842416, Entropy std: 0.34665951764904357
Episode #53 Reward: -5400.501414051837, Entropy mean: 0.5977615071091986, Entropy std: 0.4352576188240679
Episode #54 Reward: -3195.405557601303, Entropy mean: 0.6621351080496728, Entropy std: 0.45815670812571185
Episode #55 Reward: -2817.5171418371624, Entropy mean: 0.8352840682743893, Entropy std: 0.4453357230133955
Episode #56 Reward: -3945.0333479296482, Entropy mean: 0.8013573300186545, Entropy std: 0.4189830255435737
Episode #57 Reward: -2264.7942786126628, Entropy mean: 0.8449101439491096, Entropy std: 0.4423569898621882
Episode #58 Reward: -1533.6275546276124, Entropy mean: 1.1164550077853104, Entropy std: 0.39777155661606595
Episode #59 Reward: -2349.188692415557, Entropy mean: 1.0405070367847413, Entropy std: 0.47590754752308373
Episode #60 Reward: -2888.418890299669, Entropy mean: 1.0852643936872481, Entropy std: 0.2655606067280456
Episode #61 Reward: -2706.382475351701, Entropy mean: 0.8764369198722595, Entropy std: 0.4729302419114254
Episode #62 Reward: -4979.683171308354, Entropy mean: 0.6828348623532914, Entropy std: 0.4624638458446823
Episode #63 Reward: -4231.912780475656, Entropy mean: 0.5970263933162961, Entropy std: 0.4376659821967163
Episode #64 Reward: -1760.486421979341, Entropy mean: 0.7759213202816112, Entropy std: 0.5702979790187671
Episode #65 Reward: -2686.041300519627, Entropy mean: 0.5392604376754988, Entropy std: 0.5622043218360944
Episode #66 Reward: -2670.452033915004, Entropy mean: 0.6627847500850594, Entropy std: 0.5793487314510303
Episode #67 Reward: -7564.9636561304305, Entropy mean: 0.31936359255254854, Entropy std: 0.42984338970982133
Episode #68 Reward: -3601.176731989481, Entropy mean: 0.5349262674060339, Entropy std: 0.5173158857870217
Episode #69 Reward: -1363.7823024525253, Entropy mean: 0.30055193206649233, Entropy std: 0.44976672829189346
Episode #70 Reward: -1578.9740068374836, Entropy mean: 0.2227196705434394, Entropy std: 0.38728124431171795
Episode #71 Reward: -1561.107618367727, Entropy mean: 0.18621495740329944, Entropy std: 0.3135513206919709
Episode #72 Reward: -1553.5101935887628, Entropy mean: 0.31508432048421287, Entropy std: 0.4535650358879139
Episode #73 Reward: -2528.3297983747375, Entropy mean: 0.23408612309605403, Entropy std: 0.3829818997282697
Episode #74 Reward: -8188.502125531254, Entropy mean: 0.3309421417861848, Entropy std: 0.47233031617365984
Episode #75 Reward: -4781.419709741798, Entropy mean: 0.3104496682726758, Entropy std: 0.5410095795545455
Episode #76 Reward: -1671.3576530718326, Entropy mean: 0.22922234883531928, Entropy std: 0.41148662339791425
Episode #77 Reward: -1011.2150352845047, Entropy mean: 0.16010563398458813, Entropy std: 0.35223843139611255
Episode #78 Reward: -2850.106298534888, Entropy mean: 0.207284386995806, Entropy std: 0.3927768117625219
Episode #79 Reward: -1933.3689676380723, Entropy mean: 0.27570683689500214, Entropy std: 0.4578124908029694
Episode #80 Reward: -4029.342847804879, Entropy mean: 0.2624274502776038, Entropy std: 0.43923023378142906
Episode #81 Reward: -3695.001966662869, Entropy mean: 0.2312550293302037, Entropy std: 0.4205474635358083
Episode #82 Reward: -5150.026421227301, Entropy mean: 0.30811998285059355, Entropy std: 0.4967834156703885
Episode #83 Reward: -3759.0704751787894, Entropy mean: 0.1632624376967851, Entropy std: 0.32418216826451435
Episode #84 Reward: -1707.4234384767462, Entropy mean: 0.2730127020958547, Entropy std: 0.4303866503839491
Episode #85 Reward: -1395.0415060530981, Entropy mean: 0.19624771307240285, Entropy std: 0.3563664138987882
Episode #86 Reward: -913.222472082501, Entropy mean: 0.12717725228488808, Entropy std: 0.26838097561057245
Episode #87 Reward: -1274.1440360532113, Entropy mean: 0.14558643713224834, Entropy std: 0.2953517031424397
Episode #88 Reward: -1159.240899335036, Entropy mean: 0.06438979504877458, Entropy std: 0.17961165020139294
Episode #89 Reward: -2572.7176501589006, Entropy mean: 0.05729430776056462, Entropy std: 0.1621503738129011
Episode #90 Reward: -995.3623502601504, Entropy mean: 0.17111737400608648, Entropy std: 0.3011369010851607
Episode #91 Reward: -905.6265626238701, Entropy mean: 0.1393958677314109, Entropy std: 0.3044524502892996
Episode #92 Reward: -899.955537247572, Entropy mean: 0.061716001463145556, Entropy std: 0.17058128226643998
Episode #93 Reward: -1109.6120193944096, Entropy mean: 0.051526943030835125, Entropy std: 0.1433886275850298
