Episode #0 Reward: -2749.188519186572, Entropy mean: 1.5191145231723786, Entropy std: 0.08148485399317758
Episode #1 Reward: -1822.2905620872061, Entropy mean: 1.4316176808476448, Entropy std: 0.18580844974664207
Episode #2 Reward: -2582.6135320751628, Entropy mean: 1.2594385488331319, Entropy std: 0.31019080005661154
Episode #3 Reward: -3293.4601182729866, Entropy mean: 1.2053836228847503, Entropy std: 0.4125195794854397
Episode #4 Reward: -2655.702996789655, Entropy mean: 1.3956872224211694, Entropy std: 0.2394579119273896
Episode #5 Reward: -2567.530721646353, Entropy mean: 1.3489265340268612, Entropy std: 0.23293669194398667
Episode #6 Reward: -2292.300987918584, Entropy mean: 1.3644763824641704, Entropy std: 0.32093481661857076
Episode #7 Reward: -3691.5907381099364, Entropy mean: 1.1115316728362814, Entropy std: 0.5291483547166371
Episode #8 Reward: -3951.406098774402, Entropy mean: 0.9000608381651864, Entropy std: 0.6483568309176061
Episode #9 Reward: -2808.544014079247, Entropy mean: 0.7509972575021445, Entropy std: 0.5951708046454046
Episode #10 Reward: -3545.6640247612295, Entropy mean: 0.7363492391451552, Entropy std: 0.678415939450994
Episode #11 Reward: -3590.5953359817063, Entropy mean: 0.6486691799628459, Entropy std: 0.6271099110611034
Episode #12 Reward: -2973.7597454402166, Entropy mean: 0.7361335311637377, Entropy std: 0.6349468078616531
Episode #13 Reward: -3239.4369398367267, Entropy mean: 0.6708837056405094, Entropy std: 0.6690560576481661
Episode #14 Reward: -3903.4249079527567, Entropy mean: 0.6793398355927815, Entropy std: 0.657004060301539
Episode #15 Reward: -7470.304364397603, Entropy mean: 0.8505075219038571, Entropy std: 0.6717824751480511
Episode #16 Reward: -5703.364469027799, Entropy mean: 0.6417391948139634, Entropy std: 0.5930093824210246
Episode #17 Reward: -5607.697821491127, Entropy mean: 0.6037294058751578, Entropy std: 0.5900804037856782
Episode #18 Reward: -3054.0544544574113, Entropy mean: 0.7492295147109099, Entropy std: 0.6427757365352051
Episode #19 Reward: -4867.597113792132, Entropy mean: 0.5372272200681691, Entropy std: 0.5788823119372758
Episode #20 Reward: -5327.115534432179, Entropy mean: 0.4470409661740241, Entropy std: 0.5054968569131747
Episode #21 Reward: -5585.43893079206, Entropy mean: 0.3816555611828892, Entropy std: 0.5065572766236206
Episode #22 Reward: -9628.57761781843, Entropy mean: 0.23817329708275128, Entropy std: 0.4147914157456637
Episode #23 Reward: -3423.523771536516, Entropy mean: 0.5573048703978288, Entropy std: 0.5559471654038706
Episode #24 Reward: -3692.3063836510682, Entropy mean: 0.3676314402009433, Entropy std: 0.4613068794548877
Episode #25 Reward: -8558.91485010457, Entropy mean: 0.6048572930944295, Entropy std: 0.6496515901586564
Episode #26 Reward: -4539.328810498027, Entropy mean: 0.7363558649562042, Entropy std: 0.688008867264075
Episode #27 Reward: -3270.861449446488, Entropy mean: 0.5769123069259546, Entropy std: 0.49732465084403144
Episode #28 Reward: -4783.794322242069, Entropy mean: 0.6710751655428123, Entropy std: 0.6054464958740016
Episode #29 Reward: -6144.814305839563, Entropy mean: 0.6758286822566756, Entropy std: 0.5803003274632087
Episode #30 Reward: -6217.616626006697, Entropy mean: 0.5078798341521683, Entropy std: 0.5022827076438737
Episode #31 Reward: -8444.623394989447, Entropy mean: 0.33284745904964846, Entropy std: 0.5150362897754208
Episode #32 Reward: -6469.157606992999, Entropy mean: 0.14107079468238298, Entropy std: 0.3137182835621621
Episode #33 Reward: -3229.3705057572674, Entropy mean: 0.16971101411390152, Entropy std: 0.30292204916348103
Episode #34 Reward: -6379.511011306365, Entropy mean: 0.14970158076410278, Entropy std: 0.32509495429674723
Episode #35 Reward: -5693.5651889625415, Entropy mean: 0.30998989721535897, Entropy std: 0.45195695491134147
Episode #36 Reward: -6416.292274388215, Entropy mean: 0.18310489465307792, Entropy std: 0.3317538714851305
Episode #37 Reward: -8260.665392191573, Entropy mean: 0.058358923479565956, Entropy std: 0.17688051518818748
Episode #38 Reward: -5622.174234057795, Entropy mean: 0.11706674423601686, Entropy std: 0.2550294224287468
Episode #39 Reward: -9466.31902369515, Entropy mean: 0.11627526489632602, Entropy std: 0.25845394532912336
Episode #40 Reward: -9295.782917493474, Entropy mean: 0.13465287255144562, Entropy std: 0.29965044851389827
Episode #41 Reward: -8146.875299758225, Entropy mean: 0.0507620808878818, Entropy std: 0.16124577979213922
Episode #42 Reward: -11670.298164519412, Entropy mean: 0.07583345324898368, Entropy std: 0.2298949104079321
Episode #43 Reward: -6068.144605489035, Entropy mean: 0.1486562408152533, Entropy std: 0.3000942338841434
Episode #44 Reward: -7518.226438272407, Entropy mean: 0.11523700608062072, Entropy std: 0.22591573908421841
Episode #45 Reward: -6613.526534479641, Entropy mean: 0.0929892283656885, Entropy std: 0.22138962125074635
Episode #46 Reward: -4085.1809822230425, Entropy mean: 0.08837110690571578, Entropy std: 0.23898032033894775
Episode #47 Reward: -11820.6855827321, Entropy mean: 0.12374335337931835, Entropy std: 0.28023944564429515
Episode #48 Reward: -4516.203409689651, Entropy mean: 0.16861467151518605, Entropy std: 0.3195692290719088
Episode #49 Reward: -5897.023738800251, Entropy mean: 0.12777737942474462, Entropy std: 0.24007318955202722
Episode #50 Reward: -2808.456769904515, Entropy mean: 0.19435978363070883, Entropy std: 0.322929072949943
Episode #51 Reward: -5129.192739328058, Entropy mean: 0.2049327904502765, Entropy std: 0.33829721269103674
Episode #52 Reward: -10458.533412888184, Entropy mean: 0.16649463099036524, Entropy std: 0.2909954018542817
Episode #53 Reward: -8552.240183125461, Entropy mean: 0.20392180133800797, Entropy std: 0.34859854613785657
Episode #54 Reward: -6245.780329478242, Entropy mean: 0.10241108545352083, Entropy std: 0.23452210361241063
Episode #55 Reward: -8181.882162788411, Entropy mean: 0.07217026025325193, Entropy std: 0.19156977675833514
Episode #56 Reward: -12217.859634263496, Entropy mean: 0.13797937482189607, Entropy std: 0.23967787552948097
Episode #57 Reward: -23121.387246187853, Entropy mean: 0.11261797342750128, Entropy std: 0.279191174664912
Episode #58 Reward: -22672.535093389328, Entropy mean: 0.04814821931920359, Entropy std: 0.14566452556315843
Episode #59 Reward: -11239.708351558755, Entropy mean: 0.10408977873054963, Entropy std: 0.2191110944399263
Episode #60 Reward: -2704.4750322174373, Entropy mean: 0.09134830982704542, Entropy std: 0.209415348397637
Episode #61 Reward: -3370.2250840368183, Entropy mean: 0.034982138721468124, Entropy std: 0.11984127372837415
Episode #62 Reward: -2591.9810243976053, Entropy mean: 0.04141915594383573, Entropy std: 0.14741334788707985
Episode #63 Reward: -2265.232721281191, Entropy mean: 0.16138651497355064, Entropy std: 0.276958032582627
Episode #64 Reward: -2072.464652708085, Entropy mean: 0.10658072532078136, Entropy std: 0.22620752674560518
Episode #65 Reward: -4818.516853428655, Entropy mean: 0.20777669275154512, Entropy std: 0.29814411796700574
Episode #66 Reward: -3069.614323691095, Entropy mean: 0.05659209083611218, Entropy std: 0.1601107586440912
Episode #67 Reward: -2723.8243154185398, Entropy mean: 0.16283563852737823, Entropy std: 0.28097810483798213
Episode #68 Reward: -2874.3171251768536, Entropy mean: 0.07083242461077094, Entropy std: 0.18931680976377782
Episode #69 Reward: -2601.744504603978, Entropy mean: 0.019011916386760256, Entropy std: 0.13884539796307507
Episode #70 Reward: -2727.3145939632727, Entropy mean: 0.02167866882076347, Entropy std: 0.10923501514804891
Episode #71 Reward: -3030.5166453295014, Entropy mean: 0.01734443760765305, Entropy std: 0.0899407128248102
Episode #72 Reward: -2769.123414441446, Entropy mean: 0.04179318481050183, Entropy std: 0.15617593652655898
Episode #73 Reward: -2269.4942512315756, Entropy mean: 0.06993567093579596, Entropy std: 0.22374199085416596
Episode #74 Reward: -3111.1905015635302, Entropy mean: 0.0331637084818835, Entropy std: 0.14403991864580337
Episode #75 Reward: -3925.8730102015606, Entropy mean: 0.009097546823705917, Entropy std: 0.07171032245652002
Episode #76 Reward: -2111.3306961265353, Entropy mean: 0.11314120797525197, Entropy std: 0.25540038056591385
Episode #77 Reward: -12583.220960249304, Entropy mean: 0.0033427204643104815, Entropy std: 0.03699163504651398
Episode #78 Reward: -8516.90048343576, Entropy mean: 0.012463084990225127, Entropy std: 0.08025865830303587
Episode #79 Reward: -11812.763183545188, Entropy mean: 0.011306215243077162, Entropy std: 0.07110635007644144
Episode #80 Reward: -11351.019050578216, Entropy mean: 0.0590960708847858, Entropy std: 0.17111340329650948
Episode #81 Reward: -5365.4210228666525, Entropy mean: 0.006896026691577003, Entropy std: 0.08425795979669354
Episode #82 Reward: -6805.814808132054, Entropy mean: 0.053162663471181364, Entropy std: 0.15988423437734445
Episode #83 Reward: -5561.196887044977, Entropy mean: 0.012349233362493004, Entropy std: 0.0745265865397567
Episode #84 Reward: -10631.624880428655, Entropy mean: 0.013423970070969068, Entropy std: 0.08667935211055106
Episode #85 Reward: -12184.79350317592, Entropy mean: 0.010202162482124973, Entropy std: 0.07130145692552327
Episode #86 Reward: -8428.832212059071, Entropy mean: 0.03758359070349415, Entropy std: 0.14468218472944736
Episode #87 Reward: -19968.829063884004, Entropy mean: 0.09556058336334963, Entropy std: 0.20894690766916243
Episode #88 Reward: -3329.7086044551256, Entropy mean: 0.0643190710223753, Entropy std: 0.18484382639436794
Episode #89 Reward: -18662.85571339216, Entropy mean: 0.0020946207988736527, Entropy std: 0.025803988234461398
Episode #90 Reward: -7880.715527943087, Entropy mean: 0.021766366614082794, Entropy std: 0.12624506953731698
Episode #91 Reward: -2506.4497136659706, Entropy mean: 0.0037758247733452495, Entropy std: 0.04236469525003079
Episode #92 Reward: -26210.55820539002, Entropy mean: 0.012019217192190141, Entropy std: 0.07758129658106458
Episode #93 Reward: -21503.973283791896, Entropy mean: 0.013038569444106543, Entropy std: 0.08789195919832989
Episode #94 Reward: -3187.1557767024938, Entropy mean: 0.006480374138254716, Entropy std: 0.05565650877078525
Episode #95 Reward: -13587.874548222524, Entropy mean: 0.013631431190518257, Entropy std: 0.07993453373116377
Episode #96 Reward: -9574.383809791214, Entropy mean: 0.018886824221712978, Entropy std: 0.09727558652131188
Episode #97 Reward: -11701.4929370322, Entropy mean: 0.033621212826304696, Entropy std: 0.12205571386846885
Episode #98 Reward: -3778.5049448153745, Entropy mean: 0.015158679571125261, Entropy std: 0.08150792528990825
Episode #99 Reward: -2508.594230937135, Entropy mean: 0.020223013357015925, Entropy std: 0.09759912142576693
Episode #100 Reward: -13910.327955105864, Entropy mean: 0.02176886042183328, Entropy std: 0.11500660558322892
Episode #101 Reward: -19431.542167905016, Entropy mean: 0.02398781130790436, Entropy std: 0.12321097548411615
Episode #102 Reward: -31877.927331285617, Entropy mean: 0.005548524808902232, Entropy std: 0.05277910336655821
Episode #103 Reward: -2551.3149481516953, Entropy mean: 0.007408438318047611, Entropy std: 0.06225233980883065
Episode #104 Reward: -7554.107958639589, Entropy mean: 0.007808836139475724, Entropy std: 0.06344010535078833
Episode #105 Reward: -10566.137641505067, Entropy mean: 0.020398546320566157, Entropy std: 0.1097038688281839
Episode #106 Reward: -3161.974427989261, Entropy mean: 0.004784082495988547, Entropy std: 0.042487403890490265
Episode #107 Reward: -3730.077178763108, Entropy mean: 0.0068281996165713245, Entropy std: 0.05577675625901319
Episode #108 Reward: -2832.4395375277754, Entropy mean: 0.03278382612272608, Entropy std: 0.12428304393724421
Episode #109 Reward: -3530.010797990843, Entropy mean: 0.008875830536038697, Entropy std: 0.06682756387206054
Episode #110 Reward: -7914.961252254826, Entropy mean: 0.005369195090885143, Entropy std: 0.047292793340825305
Episode #111 Reward: -23101.45170007763, Entropy mean: 0.008336951545369148, Entropy std: 0.06395958191290552
Episode #112 Reward: -17851.468997509863, Entropy mean: 0.0007787448222789457, Entropy std: 0.017042034310519392
Episode #113 Reward: -2328.454125081198, Entropy mean: 0.002036856165079233, Entropy std: 0.031256024252324696
Episode #114 Reward: -3889.4628711397786, Entropy mean: 0.0022106182045438247, Entropy std: 0.03509927680331969
Episode #115 Reward: -6445.958716410302, Entropy mean: 0.0005816072614941831, Entropy std: 0.015378587244434437
Episode #116 Reward: -4232.112989675367, Entropy mean: 0.00026005487845809973, Entropy std: 0.003247898790532427
Episode #117 Reward: -8470.141116389419, Entropy mean: 0.0024219981629016534, Entropy std: 0.033014078485049086
Episode #118 Reward: -4709.961781309335, Entropy mean: 0.0001678740514884729, Entropy std: 0.0053056685860957235
Episode #119 Reward: -3755.4335284878507, Entropy mean: 0.002665071043313864, Entropy std: 0.03610595349807926
Episode #120 Reward: -2490.625812117442, Entropy mean: 0.003448182537645115, Entropy std: 0.03875888105490938
Episode #121 Reward: -15238.26264366536, Entropy mean: 0.011691849195245602, Entropy std: 0.0790561412758282
Episode #122 Reward: -3055.7738998498717, Entropy mean: 0.0012507657666446209, Entropy std: 0.02232959959123965
Episode #123 Reward: -7515.596319858637, Entropy mean: 0.013619728561110094, Entropy std: 0.07738074728455302
