Episode #0 Reward: -5374.965804115651, Entropy mean: 1.4260390981808304, Entropy std: 0.23461748722275005
Episode #1 Reward: -6198.267862321815, Entropy mean: 1.4032052943110467, Entropy std: 0.16604722857676749
Episode #2 Reward: -6709.808047058361, Entropy mean: 1.346808110833168, Entropy std: 0.2594741854954308
Episode #3 Reward: -6572.515918522238, Entropy mean: 1.3725219424813986, Entropy std: 0.22489574320000416
Episode #4 Reward: -7372.751771468817, Entropy mean: 1.2231467620134353, Entropy std: 0.3302087266293806
Episode #5 Reward: -8281.12402898931, Entropy mean: 1.2476560815703124, Entropy std: 0.3263700459840711
Episode #6 Reward: -7117.851882413005, Entropy mean: 1.338566436648369, Entropy std: 0.2501309609576886
Episode #7 Reward: -7711.490319179024, Entropy mean: 1.179149074725574, Entropy std: 0.4456362237218904
Episode #8 Reward: -6730.029327690977, Entropy mean: 1.1194585378734097, Entropy std: 0.5070617754371225
Episode #9 Reward: -9731.262770800979, Entropy mean: 0.9207215858700295, Entropy std: 0.5068047493054686
Episode #10 Reward: -9840.891082599188, Entropy mean: 1.0405499504813922, Entropy std: 0.5309660070322391
Episode #11 Reward: -11250.33886980421, Entropy mean: 0.8661750083267656, Entropy std: 0.572362067031189
Episode #12 Reward: -12710.24974131285, Entropy mean: 0.6080574898781224, Entropy std: 0.5865295204418556
Episode #13 Reward: -10565.542217289676, Entropy mean: 0.7531458710580422, Entropy std: 0.565822514365596
Episode #14 Reward: -9437.515824510841, Entropy mean: 0.8730501971835809, Entropy std: 0.6511542617454567
Episode #15 Reward: -8117.595446403192, Entropy mean: 0.664179408504719, Entropy std: 0.6099714947663952
Episode #16 Reward: -6827.988150827658, Entropy mean: 0.7269457259123594, Entropy std: 0.6235544246596768
Episode #17 Reward: -13185.177453040553, Entropy mean: 0.7568820135685623, Entropy std: 0.5966060744638315
Episode #18 Reward: -6755.184559312336, Entropy mean: 0.7490911706510057, Entropy std: 0.6178977212143739
Episode #19 Reward: -7525.890709357783, Entropy mean: 0.792962373634602, Entropy std: 0.6180223347157986
Episode #20 Reward: -8033.064321939516, Entropy mean: 0.688412834371702, Entropy std: 0.5777826519882869
Episode #21 Reward: -10085.572770717981, Entropy mean: 0.8200168825876147, Entropy std: 0.6166943719647068
Episode #22 Reward: -9248.504785899302, Entropy mean: 0.8748537195409051, Entropy std: 0.6500059412357628
Episode #23 Reward: -10838.414164610369, Entropy mean: 0.7443702168551787, Entropy std: 0.5970028189239436
Episode #24 Reward: -11451.984253733865, Entropy mean: 0.8064979741764046, Entropy std: 0.5935262371772709
Episode #25 Reward: -10609.84412130856, Entropy mean: 0.6223319278055162, Entropy std: 0.613539856091977
Episode #26 Reward: -9107.223068367653, Entropy mean: 0.8768437629719271, Entropy std: 0.6551801088407014
Episode #27 Reward: -10525.770555647661, Entropy mean: 0.7205329076538113, Entropy std: 0.6236612965914157
Episode #28 Reward: -7150.135999804692, Entropy mean: 0.7086042576569455, Entropy std: 0.6347421133963614
Episode #29 Reward: -8030.252474550608, Entropy mean: 0.7480160163915451, Entropy std: 0.6002649037019789
Episode #30 Reward: -9744.491337325075, Entropy mean: 0.7129484076343754, Entropy std: 0.601906680831938
Episode #31 Reward: -8371.165506912632, Entropy mean: 0.7091670941365017, Entropy std: 0.6049678746548703
Episode #32 Reward: -13732.393440090811, Entropy mean: 0.6720417298107085, Entropy std: 0.627058974667409
Episode #33 Reward: -8003.544732478162, Entropy mean: 0.57202080922051, Entropy std: 0.5930046742355992
Episode #34 Reward: -10886.48932590443, Entropy mean: 0.4446736873381693, Entropy std: 0.5603109025189137
Episode #35 Reward: -8788.599727919596, Entropy mean: 0.3307135817881622, Entropy std: 0.495860310222042
Episode #36 Reward: -13555.541215935838, Entropy mean: 0.26308281861368094, Entropy std: 0.422309402892719
Episode #37 Reward: -11002.284757693478, Entropy mean: 0.3374420018440981, Entropy std: 0.5369541261396726
Episode #38 Reward: -10123.638542495992, Entropy mean: 0.3464837781094105, Entropy std: 0.5380542023973341
