Episode #0 Reward: -1154.2772169581144, Entropy mean: 1.50216381808122, Entropy std: 0.08638258967506791
Episode #1 Reward: -1522.6047315687306, Entropy mean: 1.3387521826227506, Entropy std: 0.18183303989759206
Episode #2 Reward: -1078.6202591484796, Entropy mean: 1.2464375201861064, Entropy std: 0.282552532660613
Episode #3 Reward: -1837.980538756768, Entropy mean: 1.11568981513381, Entropy std: 0.43930153807327554
Episode #4 Reward: -1514.9362582390083, Entropy mean: 1.3786161564290524, Entropy std: 0.26216844975201886
Episode #5 Reward: -2085.0967199655547, Entropy mean: 0.9521920590723554, Entropy std: 0.5407512803733758
Episode #6 Reward: -1862.4824641709995, Entropy mean: 1.3324869234859944, Entropy std: 0.3286202888413317
Episode #7 Reward: -1862.8544604212636, Entropy mean: 1.2528721196949482, Entropy std: 0.32532650005662317
Episode #8 Reward: -2230.5774938504496, Entropy mean: 1.204681941171487, Entropy std: 0.30700449752333664
Episode #9 Reward: -1362.4430017475572, Entropy mean: 1.3565204157369832, Entropy std: 0.26432129449534614
Episode #10 Reward: -1154.2201994576426, Entropy mean: 1.2493351429289516, Entropy std: 0.4198955141849805
Episode #11 Reward: -1820.6197065715717, Entropy mean: 1.0059759474205203, Entropy std: 0.4033562615492357
Episode #12 Reward: -1399.1531027429241, Entropy mean: 1.0271495666975776, Entropy std: 0.3851417596538394
Episode #13 Reward: -1261.8138299553943, Entropy mean: 0.8704321759146948, Entropy std: 0.5973944194302047
Episode #14 Reward: -909.2871593213888, Entropy mean: 0.9086213995307727, Entropy std: 0.600372175537689
Episode #15 Reward: -1892.4372502363278, Entropy mean: 0.5635276247917742, Entropy std: 0.5322186794443995
Episode #16 Reward: -2511.226018088843, Entropy mean: 0.3852108193657832, Entropy std: 0.4773231308589265
Episode #17 Reward: -1860.4020293580352, Entropy mean: 0.3236223033791405, Entropy std: 0.41090653681886063
Episode #18 Reward: -1931.7048925288323, Entropy mean: 0.5271723180450967, Entropy std: 0.45582132552176524
Episode #19 Reward: -1306.2670556258447, Entropy mean: 0.5651970899559382, Entropy std: 0.511575033543753
Episode #20 Reward: -1868.5174900430004, Entropy mean: 0.689531188591904, Entropy std: 0.5805068054201795
Episode #21 Reward: -3243.7496334560315, Entropy mean: 0.42149456437598737, Entropy std: 0.5157228734973761
Episode #22 Reward: -2243.8797590810236, Entropy mean: 0.5248662280127668, Entropy std: 0.5232454953936044
Episode #23 Reward: -967.954066234766, Entropy mean: 0.7967735305481571, Entropy std: 0.491125269466701
Episode #24 Reward: -1734.8333220419559, Entropy mean: 0.7548513698776945, Entropy std: 0.5389560499763651
Episode #25 Reward: -3329.3502985427485, Entropy mean: 0.6500840963518865, Entropy std: 0.5396506838093313
Episode #26 Reward: -1531.6422836588622, Entropy mean: 0.6624717952355159, Entropy std: 0.4490587125287592
Episode #27 Reward: -2090.43615701553, Entropy mean: 0.404866578926386, Entropy std: 0.4234632693727641
Episode #28 Reward: -2045.4014688804923, Entropy mean: 0.7788015367613595, Entropy std: 0.48925697205061275
Episode #29 Reward: -1820.8915176966173, Entropy mean: 0.6352458773122629, Entropy std: 0.57605553530732
Episode #30 Reward: -2187.6751580346654, Entropy mean: 0.542024828615557, Entropy std: 0.6235094406801396
Episode #31 Reward: -2856.473577804339, Entropy mean: 0.4916981429034296, Entropy std: 0.5286521028615941
Episode #32 Reward: -2808.972174311687, Entropy mean: 0.6140877909958425, Entropy std: 0.5468088100603461
Episode #33 Reward: -2214.583945540218, Entropy mean: 0.6409187793981512, Entropy std: 0.5189113555488458
